행정코드,행정구역,카드이용건수,카드이용금액,지역화폐이용금액
2611051000,중앙동,15960,308000000,26000000
2611052000,동광동,5279,108000000,8000000
2611053000,대청동,19694,369000000,36000000
2611054500,보수동,45470,891000000,77000000
2611056000,부평동,16664,345000000,27000000
2611057000,광복동,1022,20000000,1000000
2611058000,남포동,616,13000000,2000000
2611059000,영주1동,19141,359000000,24000000
2611060000,영주2동,25326,513000000,46000000
2614051000,동대신1동,14832,311000000,37000000
2614052000,동대신2동,20890,503000000,41000000
2614053000,동대신3동,28899,588000000,54000000
2614054000,서대신1동,53796,1247000000,116000000
2614056000,서대신3동,27573,660000000,64000000
2614057000,서대신4동,24513,546000000,62000000
2614059000,부민동,26970,544000000,55000000
2614061500,아미동,19881,427000000,32000000
2614063000,초장동,10044,210000000,18000000
2614064000,충무동,36140,809000000,68000000
2614065000,남부민1동,11369,285000000,17000000
2614066000,남부민2동,34785,869000000,55000000
2614068000,암남동,64897,1543000000,142000000
2617051000,초량1동,18635,374000000,23000000
2617052000,초량2동,16139,336000000,19000000
2617053000,초량3동,61430,1355000000,112000000
2617055000,초량6동,17251,391000000,24000000
2617056000,수정1동,12751,281000000,25000000
2617057000,수정2동,40618,860000000,83000000
2617059000,수정4동,8652,192000000,10000000
2617060000,수정5동,15213,330000000,21000000
2617064500,좌천동,44789,981000000,86000000
2617065000,범일1동,50604,1133000000,77000000
2617066000,범일2동,35196,750000000,65000000
2617068000,범일5동,10685,248000000,22000000
2620053000,남항동,46971,1106000000,88000000
2620054000,영선1동,9614,233000000,25000000
2620055000,영선2동,29432,688000000,72000000
2620058500,신선동,24056,550000000,37000000
2620059000,봉래1동,25389,635000000,50000000
2620060500,봉래2동,23779,556000000,47000000
2620063000,청학1동,18404,431000000,34000000
2620064000,청학2동,84853,2029000000,174000000
2620065000,동삼1동,124333,2839000000,240000000
2620066000,동삼2동,11685,238000000,16000000
2620067000,동삼3동,38133,852000000,54000000
2623051000,부전1동,80093,1584000000,146000000
2623052000,부전2동,57752,1255000000,91000000
2623054000,연지동,114410,2642000000,285000000
2623055000,초읍동,106084,2402000000,208000000
2623056000,양정1동,98983,2086000000,230000000
2623057000,양정2동,58259,1093000000,120000000
2623060000,전포1동,118607,2358000000,247000000
2623061000,전포2동,100636,2136000000,218000000
2623064000,부암1동,108578,2516000000,265000000
2623066000,부암3동,91790,2074000000,202000000
2623067000,당감1동,113189,2401000000,255000000
2623068000,당감2동,45230,974000000,115000000
2623070000,당감4동,53362,1179000000,104000000
2623071000,가야1동,98167,1869000000,173000000
2623072000,가야2동,78387,1703000000,204000000
2623074000,개금1동,81958,1641000000,172000000
2623075000,개금2동,44500,966000000,86000000
2623076000,개금3동,154754,3304000000,400000000
2623077000,범천1동,64296,1269000000,102000000
2623078000,범천2동,103461,2379000000,213000000
2626051000,수민동,168115,3759000000,438000000
2626052000,복산동,38066,865000000,102000000
2626054500,명륜동,119339,3081000000,369000000
2626055000,온천1동,116974,2925000000,367000000
2626056000,온천2동,99533,2489000000,269000000
2626057000,온천3동,208763,4646000000,465000000
2626058000,사직1동,43877,965000000,98000000
2626059000,사직2동,128502,3002000000,349000000
2626060000,사직3동,80357,1763000000,179000000
2626074000,안락1동,69841,1551000000,166000000
2626075000,안락2동,130399,2925000000,367000000
2626076100,명장1동,61512,1346000000,154000000
2626076200,명장2동,78230,1744000000,174000000
2629051000,대연1동,100597,1796000000,150000000
2629053000,대연3동,218267,4493000000,429000000
2629054000,대연4동,47824,1094000000,95000000
2629055000,대연5동,78948,1618000000,163000000
2629056000,대연6동,67387,1623000000,180000000
2629057000,용호1동,239334,6488000000,504000000
2629058000,용호2동,77803,1983000000,143000000
2629059000,용호3동,63371,1409000000,98000000
2629060000,용호4동,54434,1135000000,84000000
2629061000,용당동,3540,927000000,71000000
2629062000,감만1동,58020,1520000000,91000000
2629063000,감만2동,28369,639000000,43000000
2629064500,우암동,61448,1426000000,117000000
2629068000,문현1동,60635,1311000000,109000000
2629069000,문현2동,37479,729000000,67000000
2629070000,문현3동,70634,1626000000,158000000
2629071000,문현4동,32376,691000000,56000000
2632051000,구포1동,59586,1341000000,105000000
2632052000,구포2동,126365,2922000000,233000000
2632052100,구포3동,107084,2342000000,170000000
2632053000,금곡동,148316,3315000000,280000000
2632054100,화명1동,192845,4623000000,519000000
2632054200,화명2동,70383,1518000000,145000000
2632054300,화명3동,128803,3086000000,339000000
2632055000,덕천1동,43904,961000000,91000000
2632056000,덕천2동,54434,1135000000,84000000
2632056100,덕천3동,30720,625000000,51000000
2632057100,만덕1동,60192,1451000000,170000000
2632057200,만덕2동,132846,3061000000,321000000
2632057300,만덕3동,90540,2120000000,239000000
2635051000,우1동,100254,2465000000,206000000
2635052000,우2동,138843,3711000000,377000000
2635052500,우3동,136134,5221000000,261000000
2635053000,중1동,123447,3617000000,283000000
2635054000,중2동,63137,1639000000,117000000
2635055100,좌1동,75358,1744000000,164000000
2635055200,좌2동,161421,3600000000,375000000
2635055300,좌3동,61690,1501000000,152000000
2635055400,좌4동,92056,2312000000,245000000
2635056000,송정동,39690,921000000,68000000
2635057000,반여1동,190567,4662000000,476000000
2635058000,반여2동,62151,1215000000,113000000
2635059000,반여3동,34926,672000000,61000000
2635059500,반여4동,77920,1849000000,164000000
2635061000,반송1동,80090,1641000000,107000000
2635062000,반송2동,120031,2713000000,242000000
2635065000,재송1동,178215,4796000000,524000000
2635066000,재송2동,124928,2713000000,281000000
2638051000,괴정1동,92533,2099000000,215000000
2638052000,괴정2동,59282,1333000000,142000000
2638053000,괴정3동,45341,1004000000,97000000
2638054000,괴정4동,48989,1133000000,109000000
2638055000,당리동,128654,2915000000,316000000
2638056100,하단1동,109593,2430000000,235000000
2638056200,하단2동,134344,2658000000,302000000
2638057100,신평1동,84626,1974000000,127000000
2638057200,신평2동,81714,1944000000,160000000
2638058000,장림1동,49798,997000000,68000000
2638059000,장림2동,149844,3563000000,245000000
2638060100,다대1동,195226,4493000000,407000000
2638060200,다대2동,135457,3283000000,274000000
2638061000,구평동,55969,1428000000,110000000
2638062000,감천1동,99912,2414000000,201000000
2638063000,감천2동,20600,500000000,38000000
2641051000,서1동,19322,385000000,36000000
2641052000,서2동,39981,871000000,78000000
2641053000,서3동,52206,1154000000,89000000
2641055500,금사회동동,37116,875000000,53000000
2641057000,부곡1동,34360,723000000,60000000
2641058000,부곡2동,82557,1753000000,208000000
2641059000,부곡3동,71462,1508000000,215000000
2641059100,부곡4동,60366,1304000000,122000000
2641060000,장전1동,100256,1508000000,245000000
2641061000,장전2동,119965,2646000000,348000000
2641063500,선두구동,1338,44000000,4000000
2641066500,청룡노포동,29837,721000000,80000000
2641067000,남산동,139428,2828000000,335000000
2641068000,구서1동,86606,1973000000,224000000
2641069000,구서2동,147438,3565000000,407000000
2641070000,금성동,527,13000000,1000000
2644051000,대저1동,10554,311000000,23000000
2644052000,대저2동,13343,369000000,28000000
2644053000,강동동,2455,70000000,4000000
2644053500,명지1동,250264,6203000000,701000000
2644054500,명지2동,128488,3385000000,312000000
2644055000,가락동,476,31000000,0
2644056000,녹산동,194384,4776000000,279000000
2644058000,가덕도동,2655,66000000,3000000
2647061000,거제1동,156508,3636000000,434000000
2647062000,거제2동,55679,1361000000,157000000
2647063000,거제3동,40593,882000000,115000000
2647064000,거제4동,44749,982000000,100000000
2647065000,연산1동,80204,1844000000,196000000
2647066000,연산2동,90948,1994000000,261000000
2647067000,연산3동,40627,811000000,104000000
2647068000,연산4동,80576,1713000000,158000000
2647069000,연산5동,95592,1879000000,196000000
2647070000,연산6동,75441,1.56E+10,168000000
2647072000,연산8동,69454,1559000000,174000000
2647073000,연산9동,182923,4131000000,415000000
2650066000,남천1동,77660,1796000000,171000000
2650067000,남천2동,53446,1313000000,119000000
2650073000,수영동,76171,1632000000,178000000
2650074000,망미1동,142671,3125000000,359000000
2650075000,망미2동,48757,1049000000,102000000
2650076000,광안1동,139178,2842000000,268000000
2650077000,광안2동,91820,1897000000,220000000
2650078000,광안3동,48078,870000000,76000000
2650079000,광안4동,60283,1348000000,157000000
2650080000,민락동,152370,3838000000,346000000
2653058000,삼락동,25932,559000000,38000000
2653059100,모라1동,145199,3436000000,265000000
2653059300,모라3동,37532,761000000,42000000
2653060000,덕포1동,39999,809000000,62000000
2653061000,덕포2동,72297,1588000000,145000000
2653062000,괘법동,130572,2752000000,223000000
2653064500,감전동,68135,1486000000,92000000
2653065000,주례1동,73839,1623000000,164000000
2653066000,주례2동,110807,2328000000,239000000
2653066100,주례3동,44328,1039000000,97000000
2653067000,학장동,151606,3531000000,308000000
2653068000,엄궁동,118659,2850000000,284000000
