행정코드,행정동명,상권업종소분류명,상권업종소분류코드,점포수,매출
2611051000,중앙동,백반/한정식,I20101,106,18210000
2611051000,중앙동,국/탕/찌개류,I20102,17,17710000
2611051000,중앙동,족발/보쌈,I20103,1,12930000
2611051000,중앙동,전/부침개,I20104,1,38270000
2611051000,중앙동,국수/칼국수,I20105,14,16990000
2611051000,중앙동,냉면/밀면,I20106,5,31180000
2611051000,중앙동,돼지고기 구이/찜,I20107,31,43390000
2611051000,중앙동,소고기 구이/찜,I20108,1,14060000
2611051000,중앙동,곱창 전골/구이,I20109,,
2611051000,중앙동,닭/오리 고기 구이/찜,I20110,1,
2611051000,중앙동,횟집,I20111,10,32730000
2611051000,중앙동,해산물 구이/찜,I20112,9,10940000
2611051000,중앙동,복 요리 전문,I20113,1,45420000
2611051000,중앙동,기타 한식 음식점,I20199,,
2611051000,중앙동,중국집,I20201,,27800000
2611051000,중앙동,마라탕/훠궈,I20202,,
2611051000,중앙동,일식 회/초밥,I20301,24,71530000
2611051000,중앙동,일식 카레/돈가스/덮밥,I20302,6,27740000
2611051000,중앙동,일식 면 요리,I20303,4,33460000
2611051000,중앙동,기타 일식 음식점,I20399,1,14230000
2611051000,중앙동,경양식,I20401,17,17200000
2611051000,중앙동,파스타/스테이크,I20402,1,10630000
2611051000,중앙동,패밀리레스토랑,I20403,,
2611051000,중앙동,기타 서양식 음식점,I20499,,
2611051000,중앙동,베트남식 전문,I20501,5,16440000
2611051000,중앙동,기타 동남아식 전문,I20599,4,9530000
2611051000,중앙동,구내식당,I20701,6,22780000
2611051000,중앙동,뷔페,I20702,,
2611051000,중앙동,빵/도넛,I21001,13,30030000
2611051000,중앙동,떡/한과,I21002,1,
2611051000,중앙동,피자,I21003,6,46750000
2611051000,중앙동,버거,I21004,2,31260000
2611051000,중앙동,토스트/샌드위치/샐러드,I21005,7,11930000
2611051000,중앙동,치킨,I21006,10,11100000
2611051000,중앙동,김밥/만두/분식,I21007,33,31260000
2611051000,중앙동,아이스크림/빙수,I21008,,31260000
2611051000,중앙동,그 외 기타 간이 음식점,I21099,3,6000000
2611051000,중앙동,일반 유흥주점,I21101,42,9720000
2611051000,중앙동,무도 유흥주점,I21102,,
2611051000,중앙동,생맥주 전문,I21103,3,16870000
2611051000,중앙동,요리주점,I21104,25,13080000
2611051000,중앙동,카페,I21201,120,31260000
2611052000,동광동,백반/한정식,I20101,26,18470000
2611052000,동광동,국/탕/찌개류,I20102,2,13550000
2611052000,동광동,족발/보쌈,I20103,,
2611052000,동광동,전/부침개,I20104,,
2611052000,동광동,국수/칼국수,I20105,1,11980000
2611052000,동광동,냉면/밀면,I20106,3,30670000
2611052000,동광동,돼지고기 구이/찜,I20107,7,35750000
2611052000,동광동,소고기 구이/찜,I20108,7,21020000
2611052000,동광동,곱창 전골/구이,I20109,,
2611052000,동광동,닭/오리 고기 구이/찜,I20110,,
2611052000,동광동,횟집,I20111,,
2611052000,동광동,해산물 구이/찜,I20112,1,9870000
2611052000,동광동,복 요리 전문,I20113,,
2611052000,동광동,기타 한식 음식점,I20199,1,11560000
2611052000,동광동,중국집,I20201,3,23070000
2611052000,동광동,마라탕/훠궈,I20202,,
2611052000,동광동,일식 회/초밥,I20301,3,48270000
2611052000,동광동,일식 카레/돈가스/덮밥,I20302,1,
2611052000,동광동,일식 면 요리,I20303,,
2611052000,동광동,기타 일식 음식점,I20399,,
2611052000,동광동,경양식,I20401,4,21700000
2611052000,동광동,파스타/스테이크,I20402,,
2611052000,동광동,패밀리레스토랑,I20403,,
2611052000,동광동,기타 서양식 음식점,I20499,,
2611052000,동광동,베트남식 전문,I20501,1,16620000
2611052000,동광동,기타 동남아식 전문,I20599,,
2611052000,동광동,구내식당,I20701,,
2611052000,동광동,뷔페,I20702,,
2611052000,동광동,빵/도넛,I21001,3,29740000
2611052000,동광동,떡/한과,I21002,,7350000
2611052000,동광동,피자,I21003,2,70880000
2611052000,동광동,버거,I21004,1,30240000
2611052000,동광동,토스트/샌드위치/샐러드,I21005,,11930000
2611052000,동광동,치킨,I21006,3,7270000
2611052000,동광동,김밥/만두/분식,I21007,2,30240000
2611052000,동광동,아이스크림/빙수,I21008,,30240000
2611052000,동광동,그 외 기타 간이 음식점,I21099,,6000000
2611052000,동광동,일반 유흥주점,I21101,22,12290000
2611052000,동광동,무도 유흥주점,I21102,,
2611052000,동광동,생맥주 전문,I21103,5,13600000
2611052000,동광동,요리주점,I21104,22,24780000
2611052000,동광동,카페,I21201,,30240000
2611053000,대청동,백반/한정식,I20101,21,14470000
2611053000,대청동,국/탕/찌개류,I20102,1,13900000
2611053000,대청동,족발/보쌈,I20103,,
2611053000,대청동,전/부침개,I20104,,
2611053000,대청동,국수/칼국수,I20105,,
2611053000,대청동,냉면/밀면,I20106,1,24300000
2611053000,대청동,돼지고기 구이/찜,I20107,2,32830000
2611053000,대청동,소고기 구이/찜,I20108,,
2611053000,대청동,곱창 전골/구이,I20109,,
2611053000,대청동,닭/오리 고기 구이/찜,I20110,,
2611053000,대청동,횟집,I20111,,
2611053000,대청동,해산물 구이/찜,I20112,3,18360000
2611053000,대청동,복 요리 전문,I20113,,
2611053000,대청동,기타 한식 음식점,I20199,,
2611053000,대청동,중국집,I20201,2,19290000
2611053000,대청동,마라탕/훠궈,I20202,,
2611053000,대청동,일식 회/초밥,I20301,5,24820000
2611053000,대청동,일식 카레/돈가스/덮밥,I20302,,
2611053000,대청동,일식 면 요리,I20303,,
2611053000,대청동,기타 일식 음식점,I20399,,
2611053000,대청동,경양식,I20401,6,59210000
2611053000,대청동,파스타/스테이크,I20402,2,5550000
2611053000,대청동,패밀리레스토랑,I20403,,
2611053000,대청동,기타 서양식 음식점,I20499,,
2611053000,대청동,베트남식 전문,I20501,1,15190000
2611053000,대청동,기타 동남아식 전문,I20599,,
2611053000,대청동,구내식당,I20701,,
